cluster_id,cluster_total_pagerank,total_road_travel_time,total_road_number,cluster_attractiveness,Normalized_attractiveness,variance
0,48.96386000,2139.00000000,51,0.02289101,0.65268944,1.88888260
1,38.38887000,1095.00000000,50,0.03505833,1.00000000,0.30320789
2,37.64872000,1534.00000000,50,0.02454284,0.69984036,0.11475785
3,17.16202000,1073.00000000,50,0.01599443,0.45582984,0.03098121
4,28.51955000,1188.00000000,51,0.02400636,0.68452659,0.06434854
5,22.01586300,1319.00000000,53,0.01669133,0.47572259,0.03685324
6,5.88617800,5002.00000000,143,0.00117676,0.03286661,0.00702733
7,32.39306000,4011.00000000,87,0.00807606,0.22980364,0.04604001
8,22.73470000,1334.00000000,53,0.01704250,0.48574670,0.07649803
9,119.24358800,33226.00000000,609,0.00358886,0.10171884,0.02346990
10,15.36399000,1029.00000000,50,0.01493099,0.42547457,0.06141722
11,40.14676000,3267.00000000,102,0.01228857,0.35004790,0.07080317
12,19.58124000,1607.00000000,50,0.01218497,0.34709055,0.05986896
13,22.27093000,1704.00000000,55,0.01306979,0.37234758,0.09467346
14,15.35876000,2277.00000000,51,0.00674517,0.19181423,0.01649901
15,45.07147200,29473.00000000,600,0.00152925,0.04292802,0.01214287
16,134.02787400,32113.00000000,639,0.00417363,0.11841081,0.03373611
17,26.09033200,32677.00000000,651,0.00079843,0.02206725,0.00658174
18,15.31551000,2251.00000000,50,0.00680387,0.19348967,0.04552414
19,15.45824000,1365.00000000,52,0.01132472,0.32253518,0.03000285
20,4.74660000,32293.00000000,697,0.00014699,0.00347204,0.00159305
21,16.01110000,1593.00000000,54,0.01005091,0.28617494,0.01947457
22,47.70380600,32832.00000000,563,0.00145297,0.04075066,0.01898734
23,74.82857700,22050.00000000,616,0.00339359,0.09614474,0.01604204
24,12.49065900,30332.00000000,561,0.00041180,0.01103099,0.00463029
25,17.54694000,2172.00000000,51,0.00807870,0.22987917,0.02715243
26,13.67431000,2074.00000000,60,0.00659321,0.18747640,0.05480033
27,34.97009200,26514.00000000,659,0.00131893,0.03692463,0.01140101
28,17.81128600,25964.00000000,614,0.00068600,0.01885794,0.00532545
29,13.00413000,14733.00000000,414,0.00088265,0.02447133,0.00734154
30,7.24357800,16560.00000000,358,0.00043741,0.01176219,0.00380323
31,8.85100600,5052.00000000,70,0.00175198,0.04928587,0.02649627
32,2.25477700,28800.00000000,555,0.00007829,0.00151118,0.00062565
33,4.04352500,9584.00000000,239,0.00042190,0.01131945,0.00425728
34,0.40204500,2378.00000000,78,0.00016907,0.00410239,0.00164573
35,0.13877700,1645.00000000,79,0.00008436,0.00168451,0.00020612
36,1.00597600,4537.00000000,82,0.00022173,0.00560550,0.00113596
37,0.12056500,2216.00000000,62,0.00005441,0.00082942,0.00021672
38,0.26984700,10645.00000000,233,0.00002535,0.00000000,0.00008842
