cluster_id,cluster_nbs
6,0 1 2 3 4 7 8 9 12 13 14 15 17 18 19 22 24 25 26 27 28 30
9,0 19 6
18,8 0 6
0,1 2 3 4 5 6 7 9 10 12 14 15 18 19 21 23 26 27 28 30 31 32 33
12,0 19 6
1,0 34 6 7 11 15 16 20 21 24 29
27,0 28 6
21,0 1
16,1
14,0 26 30 6
26,0 30 6 14
19,0 9 12 6
22,6
24,1 6
29,1
23,0 3
3,0 5 6 23
4,0 6
28,0 27 6
8,18 6
25,17 6
17,25 6
30,0 26 14 6
5,0 2 3
32,0 15
15,0 1 32 6 7
7,0 1 6 15
2,0 5 6
20,1
33,0
31,0
11,1
13,6
34,1
10,0
