road_id,cluster_id
0,12
1,12
2,12
5,12
6,12
7,12
8,12
9,12
10,12
11,12
12,12
13,3
15,12
16,12
17,12
18,12
19,12
20,12
21,15
22,17
23,7
24,15
25,17
26,17
28,3
29,17
30,17
33,17
34,17
41,7
42,12
43,7
44,12
45,12
46,7
47,3
48,12
49,12
51,3
52,12
54,12
55,19
56,19
57,12
58,12
59,12
60,12
62,12
63,12
64,12
65,12
66,14
67,14
68,14
69,12
70,19
71,19
72,12
73,12
74,19
75,19
77,19
78,19
79,19
80,19
81,16
82,16
83,16
84,16
85,16
86,10
87,16
88,17
89,16
90,16
91,16
92,7
93,12
94,12
95,12
96,7
97,12
98,12
99,12
100,3
101,12
102,12
103,3
105,12
106,19
107,19
108,19
109,19
111,12
112,19
113,12
114,12
115,12
116,12
117,12
118,12
119,12
120,12
121,17
122,19
123,19
124,19
125,19
126,19
127,19
131,17
132,19
133,12
134,17
136,17
137,17
138,17
139,9
140,9
141,12
142,9
146,19
147,19
148,17
157,19
158,19
159,19
160,19
161,19
163,17
165,19
166,19
167,16
168,6
169,16
170,16
171,10
172,10
173,16
174,16
175,6
176,12
178,17
179,17
180,17
181,12
183,17
184,17
185,17
186,12
187,6
191,12
192,17
193,12
194,12
195,12
197,17
198,12
199,12
200,12
203,18
204,12
205,15
206,17
207,17
208,17
209,12
210,12
211,12
212,12
216,12
218,18
219,12
221,19
222,12
223,19
224,12
225,12
226,12
231,17
234,17
235,12
236,12
237,17
238,17
240,12
241,7
242,12
243,19
244,12
245,19
246,17
247,17
248,12
250,4
254,12
255,12
256,12
257,17
258,12
259,12
260,12
261,17
265,12
266,12
268,17
271,12
272,12
273,12
275,19
276,19
279,17
280,12
283,17
286,19
287,19
288,19
289,12
291,17
292,12
293,12
294,12
295,12
296,12
297,12
298,12
299,12
300,12
301,12
305,17
306,17
310,17
311,12
312,6
313,6
314,12
315,5
318,12
319,12
321,12
324,12
325,12
327,17
329,12
330,12
331,12
332,5
333,12
335,12
337,5
338,12
339,5
340,12
341,12
343,5
345,5
346,17
348,17
349,17
351,17
355,5
357,5
359,5
360,17
362,17
363,5
364,17
365,17
366,17
368,17
369,17
370,17
372,17
373,17
377,17
378,17
380,17
383,12
384,12
385,12
386,12
387,12
388,12
389,12
390,12
391,12
392,19
394,12
395,12
396,12
397,12
398,12
399,12
400,12
401,12
402,12
403,12
404,12
405,12
406,12
407,12
408,12
409,12
410,19
412,12
413,19
414,19
415,12
416,12
417,14
418,14
419,14
421,19
422,19
423,19
425,19
427,19
429,19
430,12
431,12
432,12
434,12
435,14
436,14
437,14
438,14
439,14
440,0
441,14
442,8
443,14
444,14
445,14
446,14
447,12
448,12
449,19
450,19
451,12
452,19
453,19
454,19
455,19
456,14
457,14
458,0
459,14
460,14
461,8
462,14
463,14
464,14
465,14
466,17
468,17
475,12
476,12
477,12
479,12
482,17
485,17
488,19
489,19
490,19
491,19
494,19
496,19
498,10
499,16
500,16
507,17
509,17
510,17
514,14
515,14
516,17
517,17
518,14
519,17
520,0
521,17
522,0
523,17
524,14
525,17
526,17
527,14
528,14
529,17
530,17
532,12
535,17
539,17
551,17
558,17
569,17
574,17
576,17
583,12
584,12
585,12
586,12
587,19
588,19
589,19
590,16
591,12
592,6
593,6
594,12
595,6
596,12
597,12
598,12
599,6
600,6
601,6
602,20
603,6
604,20
605,20
606,6
607,6
608,20
609,20
610,20
611,6
612,6
613,20
614,6
615,20
616,20
617,6
618,20
619,20
620,2
621,6
622,2
623,6
624,20
625,2
626,2
627,6
628,6
629,12
630,12
631,2
633,12
634,2
635,12
636,12
637,12
638,2
639,12
640,12
641,12
642,12
643,2
644,2
645,12
646,12
647,2
648,21
649,2
650,2
651,21
652,2
653,21
654,2
655,21
656,21
657,2
658,21
659,21
660,2
661,21
663,2
664,21
666,2
667,21
668,21
669,2
670,21
671,21
672,21
673,2
674,21
675,21
676,2
677,21
678,21
679,2
680,21
681,21
682,21
683,2
684,13
685,2
686,21
687,12
688,13
689,12
690,15
691,17
692,7
693,17
694,15
695,17
696,17
697,3
698,17
703,17
706,17
708,17
713,5
714,17
720,17
722,17
723,17
725,17
729,12
730,12
731,12
732,12
733,12
734,12
735,12
736,12
737,12
738,12
739,12
740,12
741,12
742,12
743,14
744,12
745,16
746,14
747,14
748,16
749,14
750,17
751,17
752,17
753,17
754,16
755,17
756,16
757,17
758,17
759,17
760,17
761,17
762,17
763,16
764,16
765,16
766,16
767,16
768,16
769,16
770,16
771,16
772,0
773,10
774,16
775,16
776,10
777,16
778,16
779,16
780,16
781,16
782,16
783,10
784,16
785,16
786,16
787,10
788,10
789,16
790,16
791,16
792,16
793,16
794,16
795,16
796,16
798,19
799,12
800,19
801,19
802,19
803,19
804,12
805,12
806,12
807,12
808,12
809,12
810,12
811,12
812,12
813,12
814,19
815,19
816,12
817,19
818,12
819,12
820,12
821,19
822,12
823,12
824,19
825,19
826,12
827,12
828,12
829,12
830,12
831,12
832,12
833,12
834,12
835,12
836,12
837,12
838,12
839,12
840,12
841,12
842,12
843,12
844,14
845,14
846,12
847,14
848,14
849,12
850,14
851,12
852,12
853,14
854,14
855,14
856,12
857,12
858,14
859,14
860,14
861,14
862,14
863,14
864,14
865,14
866,22
867,14
868,14
869,14
870,14
871,22
872,14
873,14
874,22
875,19
876,19
877,19
878,16
879,16
880,16
881,16
882,16
883,16
884,16
885,16
886,16
887,16
888,15
889,15
890,15
891,7
892,7
893,17
894,7
895,17
896,17
897,7
898,17
899,7
900,15
901,17
902,15
903,17
904,15
905,15
906,17
907,15
908,15
909,17
910,15
911,15
913,15
914,3
915,12
916,12
917,3
918,3
919,12
920,3
921,12
922,3
925,3
926,12
927,3
928,12
929,3
930,12
931,3
932,12
933,3
934,12
935,3
936,12
937,12
938,3
939,3
940,3
942,3
943,12
944,12
945,3
946,3
947,12
948,3
949,12
950,3
951,12
952,3
953,12
954,3
955,12
956,12
957,3
958,3
959,12
960,12
961,3
962,3
963,12
964,12
965,3
966,3
967,12
969,3
970,12
971,3
972,12
973,3
974,12
975,3
976,12
977,3
978,12
979,12
980,12
983,12
985,12
986,12
987,12
988,12
989,12
990,12
991,17
993,5
994,12
996,5
999,5
1002,12
1003,5
1004,5
1005,12
1006,5
1007,12
1008,5
1009,12
1010,5
1011,12
1012,5
1013,12
1014,5
1015,12
1016,12
1017,5
1018,5
1021,5
1022,12
1023,5
1024,12
1025,5
1026,12
1027,5
1028,12
1029,5
1030,12
1031,5
1032,12
1033,5
1034,12
1035,5
1036,12
1037,5
1039,5
1041,17
1042,5
1043,5
1046,12
1047,5
1048,12
1049,5
1050,5
1051,12
1052,5
1053,12
1054,5
1057,5
1059,5
1061,5
1063,12
1064,12
1067,5
1069,5
1070,5
1071,17
1072,5
1075,5
1076,5
1077,5
1078,5
1080,5
1082,5
1084,5
1086,5
1087,17
1088,5
1090,5
1092,5
1094,5
1095,17
1097,17
1098,5
1099,5
1100,5
1102,5
1106,17
1107,17
1108,17
1111,17
1115,17
1116,17
1117,17
1119,17
1120,17
1122,17
1123,17
1124,17
1125,17
1134,17
1135,17
1138,17
1139,17
1143,17
1145,17
1146,17
1149,17
1152,17
1156,17
1162,17
1163,17
1165,17
1167,17
1168,17
1170,17
1173,17
1179,17
1184,4
1185,4
1186,20
1187,4
1188,20
1189,1
1190,4
1192,20
1193,1
1194,1
1195,1
1196,13
1197,13
1198,13
1199,13
1200,13
1201,2
1202,2
1203,13
1204,21
1205,21
1206,21
1208,21
1209,21
1210,12
1211,12
1212,12
1213,14
1214,14
1215,22
1216,14
1217,22
1218,0
1219,8
1220,22
1221,8
1223,12
1224,12
1225,12
1226,12
1227,12
1228,22
1229,22
1230,22
1232,17
1240,17
1241,17
1244,19
1245,19
1246,19
1247,12
1248,19
1249,12
1251,12
1252,12
1253,12
1255,12
1256,12
1257,12
