cluster_id,cluster_total_pagerank,total_road_travel_time,total_road_number,cluster_attractiveness,Normalized_attractiveness,variance
35,6.03096000,266.00000000,12,0.02267278,0.42394307,0.00285661
36,4.36448000,212.00000000,11,0.02058717,0.38494562,0.00516926
37,4.48888000,409.00000000,13,0.01097526,0.20521893,0.05529337
38,4.99705000,325.00000000,10,0.01537554,0.28749683,0.05183863
39,3.25908000,196.00000000,10,0.01662796,0.31091500,0.01558582
40,3.21698000,399.00000000,11,0.00806261,0.15075725,0.03893349
41,5.01618000,295.00000000,10,0.01700400,0.31794634,0.01917566
42,5.41958000,348.00000000,16,0.01557351,0.29119849,0.00715971
43,22.10342000,12463.00000000,223,0.00177352,0.03316192,0.00945598
44,4.24494000,269.00000000,11,0.01578045,0.29506793,0.01669605
45,5.85575000,439.00000000,15,0.01333884,0.24941395,0.02494135
46,12.96710000,14101.00000000,234,0.00091959,0.01719474,0.00677156
47,5.31786000,433.00000000,11,0.01228143,0.22964222,0.11435306
48,9.45817000,755.00000000,25,0.01252738,0.23424099,0.05081104
49,5.01923000,373.00000000,11,0.01345638,0.25161180,0.11233003
50,25.45569000,8595.00000000,245,0.00296169,0.05537857,0.01794399
51,3.59506000,248.00000000,11,0.01449621,0.27105486,0.01182284
52,5.64860000,613.00000000,18,0.00921468,0.17229913,0.01879924
53,8.94560000,596.00000000,22,0.01500940,0.28065058,0.01716284
54,2.51584000,3556.00000000,55,0.00070749,0.01322891,0.01080161
55,19.99762000,13384.00000000,228,0.00149414,0.02793799,0.01757079
56,3.72476000,301.00000000,11,0.01237462,0.23138464,0.00775728
57,3.77162000,517.00000000,12,0.00729520,0.13640809,0.02788603
58,4.58387000,294.00000000,10,0.01559139,0.29153298,0.07984211
59,12.04255000,1680.00000000,42,0.00716818,0.13403305,0.02875599
60,3.69701000,222.00000000,10,0.01665320,0.31138693,0.02260629
61,21.37912000,7283.00000000,216,0.00293548,0.05488861,0.00549324
62,4.58192000,434.00000000,12,0.01055742,0.19740607,0.01233838
63,3.22416000,355.00000000,11,0.00908214,0.16982083,0.02979008
64,6.66921000,802.00000000,26,0.00831572,0.15549010,0.04458433
65,3.02906000,250.00000000,10,0.01211624,0.22655341,0.01051701
66,44.92496000,8465.00000000,187,0.00530714,0.09923468,0.04881309
67,4.58682000,920.00000000,27,0.00498567,0.09322376,0.00968614
68,7.06564000,538.00000000,16,0.01313316,0.24556811,0.01309537
69,3.44404000,538.00000000,10,0.00640156,0.11969848,0.01453231
70,12.00461000,8737.00000000,245,0.00137400,0.02569144,0.00842851
71,16.52753000,3498.00000000,64,0.00472485,0.08834681,0.02848118
72,1.43370000,662.00000000,10,0.00216571,0.04049515,0.00929809
73,8.89173000,9877.00000000,229,0.00090025,0.01683309,0.00234757
74,3.94845000,407.00000000,14,0.00970135,0.18139903,0.00761126
75,2.27922000,200.00000000,10,0.01139610,0.21308799,0.01690767
76,4.75622000,439.00000000,15,0.01083421,0.20258167,0.00551809
77,3.75296000,351.00000000,12,0.01069219,0.19992613,0.00535902
78,0.63665000,9926.00000000,226,0.00006414,0.00119930,0.00072347
79,3.52434000,295.00000000,10,0.01194692,0.22338732,0.01855463
80,31.44379000,14692.00000000,224,0.00214020,0.04001812,0.02899038
81,3.47520000,296.00000000,12,0.01174054,0.21952846,0.02119565
82,3.91331000,492.00000000,12,0.00795388,0.14872428,0.00789082
83,30.89051000,14813.00000000,239,0.00208536,0.03899283,0.01393705
84,2.56096000,467.00000000,10,0.00548385,0.10253890,0.01266064
85,2.45797000,758.00000000,14,0.00324270,0.06063315,0.01799067
86,14.82809000,13646.00000000,225,0.00108663,0.02031808,0.00942485
87,14.89652000,3710.00000000,73,0.00401523,0.07507816,0.02552135
88,1.69122000,194.00000000,10,0.00871763,0.16300507,0.01838034
89,6.85608000,1413.00000000,25,0.00485214,0.09072698,0.01135098
90,2.70734000,309.00000000,11,0.00876162,0.16382759,0.01686931
91,2.28752000,450.00000000,11,0.00508338,0.09505066,0.00441596
92,2.44995000,311.00000000,10,0.00787765,0.14729892,0.00694896
93,2.62540000,232.00000000,10,0.01131638,0.21159735,0.02652094
94,3.56268000,385.00000000,12,0.00925371,0.17302897,0.01103012
95,4.39971000,11854.00000000,241,0.00037116,0.00694004,0.00146122
96,16.63237000,13797.00000000,248,0.00120551,0.02254095,0.01179828
97,2.80306000,597.00000000,17,0.00469524,0.08779318,0.00692949
98,1.72252000,258.00000000,11,0.00667643,0.12483814,0.01924382
99,2.36933000,208.00000000,10,0.01139101,0.21299281,0.00712642
100,2.86957000,526.00000000,14,0.00545546,0.10200790,0.05252676
101,9.51118000,7934.00000000,236,0.00119879,0.02241532,0.00415680
102,1.58750000,371.00000000,11,0.00427898,0.08000968,0.01794326
103,2.72431000,386.00000000,11,0.00705780,0.13196901,0.03728085
104,3.68593000,478.00000000,10,0.00771115,0.14418561,0.01824324
105,1.63484000,1031.00000000,34,0.00158568,0.02964963,0.01002889
106,2.62924000,1428.00000000,20,0.00184120,0.03442744,0.01883091
107,2.89597000,380.00000000,10,0.00762097,0.14249945,0.00538535
108,1.96228000,409.00000000,15,0.00479775,0.08970991,0.00818682
109,0.86056000,4584.00000000,114,0.00018773,0.00351026,0.00130595
110,2.94586000,13485.00000000,264,0.00021845,0.00408473,0.00076229
111,3.95476000,1912.00000000,23,0.00206839,0.03867541,0.01946882
112,2.31706000,391.00000000,11,0.00592598,0.11080599,0.02645368
113,2.31581000,317.00000000,10,0.00730539,0.13659865,0.03006389
114,2.10121000,678.00000000,13,0.00309913,0.05794854,0.01541991
115,6.59398000,8897.00000000,246,0.00074115,0.01385820,0.01026871
116,2.46162000,302.00000000,10,0.00815106,0.15241117,0.03053051
117,0.23020000,214.00000000,10,0.00107570,0.02011381,0.00421537
118,6.01084000,7027.00000000,223,0.00085539,0.01599440,0.00453977
119,0.71177000,2001.00000000,41,0.00035571,0.00665113,0.00348020
120,3.62472000,11745.00000000,239,0.00030862,0.00577064,0.00128726
121,1.62252000,349.00000000,10,0.00464905,0.08692954,0.00298776
122,0.77954000,13611.00000000,232,0.00005727,0.00107091,0.00047778
123,1.33275000,2752.00000000,56,0.00048428,0.00905530,0.00315995
124,0.79034000,317.00000000,11,0.00249319,0.04661841,0.00281757
125,2.22350000,8808.00000000,246,0.00025244,0.00472022,0.00075196
126,3.86829000,2177.00000000,43,0.00177689,0.03322487,0.01676503
127,1.98311000,11758.00000000,242,0.00016866,0.00315367,0.00050152
128,0.17541000,272.00000000,10,0.00064489,0.01205836,0.00274119
129,2.63230000,1676.00000000,37,0.00157058,0.02936731,0.00324535
130,0.61897000,2412.00000000,62,0.00025662,0.00479838,0.00118743
131,0.29703000,9658.00000000,237,0.00003075,0.00057506,0.00007527
132,2.81667000,2427.00000000,46,0.00116056,0.02170046,0.00827909
133,0.59408000,318.00000000,10,0.00186818,0.03493177,0.00207064
134,3.42684000,1679.00000000,28,0.00204100,0.03816329,0.00885077
135,1.29122000,638.00000000,11,0.00202386,0.03784272,0.01938599
136,2.51372000,871.00000000,18,0.00288602,0.05396367,0.01691359
137,1.16068000,2337.00000000,58,0.00049665,0.00928660,0.00351443
138,1.86253000,472.00000000,10,0.00394604,0.07378431,0.00813872
139,0.78809000,512.00000000,10,0.00153924,0.02878118,0.00244072
140,0.74779000,472.00000000,12,0.00158430,0.02962377,0.00446513
141,1.08592000,815.00000000,10,0.00133242,0.02491397,0.00648786
142,0.15143000,2440.00000000,70,0.00006206,0.00116045,0.00018910
143,1.01220000,645.00000000,13,0.00156930,0.02934333,0.00360817
144,1.27892000,1638.00000000,43,0.00078078,0.01459931,0.00231340
145,0.84946000,224.00000000,10,0.00379223,0.07090839,0.00293107
146,0.30068000,9518.00000000,220,0.00003159,0.00059069,0.00013678
147,0.61261000,1200.00000000,32,0.00051051,0.00954565,0.00099156
148,2.23486000,1140.00000000,12,0.00196040,0.03665626,0.04694350
149,1.95028000,670.00000000,12,0.00291087,0.05442832,0.00649853
150,0.15277000,679.00000000,21,0.00022499,0.00420699,0.00103128
151,0.09083000,11596.00000000,226,0.00000783,0.00014646,0.00000831
152,0.56478000,1110.00000000,35,0.00050881,0.00951391,0.00052683
153,0.93899000,1108.00000000,19,0.00084746,0.01584616,0.00408021
154,0.31242000,1651.00000000,27,0.00018923,0.00353830,0.00065492
155,0.08963000,372.00000000,12,0.00024094,0.00450519,0.00035627
156,2.30826000,1454.00000000,18,0.00158752,0.02968404,0.01672546
157,0.68918000,977.00000000,22,0.00070540,0.01318988,0.00447142
158,0.88635000,430.00000000,13,0.00206128,0.03854247,0.00232344
159,0.07273000,203.00000000,10,0.00035828,0.00669916,0.00016187
160,0.08642000,5313.00000000,106,0.00001627,0.00030414,0.00003687
161,0.12851000,805.00000000,13,0.00015964,0.00298500,0.00116772
162,0.12049000,8401.00000000,134,0.00001434,0.00026818,0.00001551
163,0.16953000,489.00000000,11,0.00034669,0.00648247,0.00010517
164,0.18362000,496.00000000,10,0.00037020,0.00692215,0.00035387
165,0.11680000,2489.00000000,51,0.00004693,0.00087745,0.00004771
166,0.14767000,460.00000000,12,0.00032102,0.00600257,0.00009892
167,0.11798000,417.00000000,14,0.00028293,0.00529024,0.00004317
168,0.01448000,382.00000000,12,0.00003791,0.00070877,0.00000807
169,0.06062000,710.00000000,11,0.00008538,0.00159647,0.00004420
170,0.02827000,548.00000000,18,0.00005159,0.00096460,0.00002046
171,0.02873000,486.00000000,16,0.00005912,0.00110536,0.00000463
172,0.00529000,406.00000000,10,0.00001303,0.00024363,0.00000032
173,0.01175000,1249.00000000,10,0.00000941,0.00017590,0.00000434
174,0.00653000,772.00000000,15,0.00000846,0.00015816,0.00000045
175,0.00122000,1363.00000000,15,0.00000090,0.00001674,0.00000001
176,0.00080000,837.00000000,17,0.00000096,0.00001787,0.00000001
177,0.00020000,771.00000000,24,0.00000026,0.00000485,0.00000000
178,0.00020000,1166.00000000,59,0.00000017,0.00000321,0.00000000
179,0.00020000,801.00000000,15,0.00000025,0.00000467,0.00000000
180,0.00000000,149.00000000,13,0.00000000,0.00000000,0.00000000
181,0.00000000,388.00000000,10,0.00000000,0.00000000,0.00000000
