cluster_id,cluster_total_pagerank,total_road_travel_time,total_road_number,cluster_attractiveness,Normalized_attractiveness,variance
0,28.75526000,791.00000000,18,0.03635305,0.67974113,3.85375090
1,19.08282000,1020.00000000,27,0.01870865,0.34982038,0.57302795
2,20.55876000,766.00000000,31,0.02683911,0.50184648,0.40128741
3,8.87780000,166.00000000,10,0.05348072,1.00000000,0.15170254
4,9.29894000,185.00000000,10,0.05026454,0.93986277,0.06348788
5,26.33418000,875.00000000,29,0.03009621,0.56274867,0.08555709
6,4.96453000,167.00000000,10,0.02972772,0.55585869,0.05022815
7,6.34607000,188.00000000,10,0.03375569,0.63117493,0.01337731
8,6.96819000,218.00000000,10,0.03196417,0.59767656,0.02458778
9,16.44314000,1120.00000000,36,0.01468137,0.27451714,0.05166090
10,5.14784000,7661.00000000,215,0.00067195,0.01256442,0.00333087
11,48.82334000,7615.00000000,173,0.00641147,0.11988375,0.04416562
12,9.92017000,460.00000000,17,0.02156559,0.40324038,0.15276627
13,5.75152000,241.00000000,11,0.02386523,0.44623982,0.01411421
14,4.27411000,224.00000000,12,0.01908085,0.35677992,0.06742357
15,8.43419000,320.00000000,13,0.02635684,0.49282886,0.10088467
16,6.91928000,360.00000000,10,0.01922022,0.35938598,0.33554232
17,4.95175000,309.00000000,12,0.01602508,0.29964219,0.03069983
18,7.27377000,348.00000000,10,0.02090164,0.39082564,0.11286536
19,48.07438000,14328.00000000,238,0.00335527,0.06273803,0.02061239
20,6.57658000,457.00000000,16,0.01439077,0.26908323,0.06757130
21,5.84632000,403.00000000,15,0.01450700,0.27125657,0.03138418
22,4.74236000,196.00000000,11,0.02419571,0.45241936,0.01776021
23,5.80789000,304.00000000,14,0.01910490,0.35722968,0.02461861
24,10.36924000,804.00000000,27,0.01289706,0.24115352,0.03762413
25,4.22509000,217.00000000,10,0.01947046,0.36406503,0.01875078
26,4.45408000,248.00000000,11,0.01796000,0.33582194,0.12027866
27,5.19413000,247.00000000,11,0.02102887,0.39320460,0.00998873
28,8.95390000,779.00000000,20,0.01149409,0.21492034,0.05169791
29,5.77369000,327.00000000,13,0.01765654,0.33014783,0.02085931
30,3.69177000,343.00000000,11,0.01076318,0.20125341,0.11718081
31,3.19675000,201.00000000,11,0.01590423,0.29738246,0.01570783
32,4.52306000,293.00000000,10,0.01543706,0.28864727,0.02508207
33,4.71922000,325.00000000,13,0.01452068,0.27151235,0.01588976
34,4.50285000,224.00000000,10,0.02010201,0.37587392,0.01211820
