cluster_id,cluster_nbs
30,17 5 9 15
15,32 3 5 8 17 20 24 30
3,24 17 21 15
17,32 3 4 7 9 15 20 24 28 30
21,3 8 19 22 24
24,32 3 37 6 38 8 9 15 17 19 20 21 22
8,15 19 21 22 24
32,35 38 6 9 15 17 20 24 28
36,27 28
23,0 34 10 16 18 22 26 27 28 29
16,0 1 2 7 9 10 11 12 14 18 22 23 25 27 28 29
27,33 34 36 11 16 23 25 28
13,9 12 22 14
22,0 8 9 12 13 14 16 18 19 21 23 24 29
12,0 9 13 16 22
19,8 9 21 22 24
29,0 10 16 18 22 23 26
28,32 1 34 33 4 5 36 7 9 11 16 17 23 25 26 27
11,1 9 14 16 25 27 28
25,16 27 11 28
33,34 27 28
9,0 1 2 4 5 7 11 12 13 14 16 17 19 22 24 28 30 31 32
26,28 29 23
20,32 37 6 15 17 24
5,4 9 14 15 28 30
7,2 4 9 16 17 28 31
6,32 37 38 20 24
34,33 27 28 23
0,9 10 12 16 22 23 29
10,0 16 18 23 29
18,10 16 22 23 29
2,1 7 9 16 31
31,9 2 4 7
38,32 24 6
4,1 5 7 9 17 28 31
14,1 5 9 11 13 16 22
1,2 4 9 11 14 16 28
35,32
37,24 20 6
