cluster_id,cluster_nbs
12,0 1 2 3 4 5 6 7 8 9 11 13 14 15 16 17 18 19 20 21 22
3,17 12 7 15
15,3 7 10 12 16 17
17,0 3 5 7 8 10 12 14 15 16
7,17 3 12 15
19,8 9 12 14 16 18
14,0 8 9 12 16 17 19 22
16,0 1 2 4 6 9 10 11 12 14 15 17 19 20
10,16 17 0 15
9,6 12 14 16 19
6,1 2 4 9 11 12 16 20
18,19 12
4,1 6 11 12 13 16 20 21
5,17 12
0,8 10 12 14 16 17 22
8,0 12 14 17 19 22
20,1 2 4 6 12 13 16 21
2,1 6 12 13 16 20 21
21,1 2 4 12 13 20
13,1 2 4 12 20 21
22,0 8 12 14
1,2 4 6 11 12 13 16 20 21
11,1 4 6 12 16
