cluster_id,cluster_total_pagerank,total_road_travel_time,total_road_number,cluster_attractiveness,Normalized_attractiveness,variance
0,0.353980005,23,1,0.015390435,0.068582207,0
1,0.232459992,24,1,0.009685833,0.0431616,0
2,0.08713001,38,1,0.002292895,0.010217502,0
3,0,50,1,0,0,0
4,0,49,1,0,0,0
5,0.00931,38,1,0.000245,0.001091759,0
6,0.068649984,39,1,0.001760256,0.007843978,0
7,0.318180024,72,1,0.004419167,0.019692505,0
8,0.56423999,31,1,0.01820129,0.08110782,0
9,0.107429985,39,1,0.002754615,0.012274999,0
10,0.003160001,72,1,4.39E-05,0.000195576,0
11,0.06332,20,1,0.003166,0.014108196,0
12,0.10394001,54,1,0.001924815,0.008577279,0
13,0.491240002,22,1,0.022329091,0.099501953,0
14,0,7,1,0,0,0
15,0.06221,16,1,0.003888125,0.017326098,0
16,0.077990037,83,1,0.000939639,0.00418718,0
17,0.00024,23,1,1.04E-05,4.64991E-05,0
18,0.0157,16,1,0.00098125,0.004372605,0
19,0.00271,83,1,3.27E-05,0.000145496,0
20,0.00088,50,1,0.0000176,7.84284E-05,0
21,0.247899994,31,1,0.007996774,0.035634887,0
22,0.059820064,158,1,0.000378608,0.001687137,0
23,0.232450002,18,1,0.012913889,0.057546327,0
24,0.150009992,31,1,0.004839032,0.02156349,0
25,0.00473,10,1,0.000473,0.002107763,0
26,0.083969977,61,1,0.001376557,0.006134155,0
27,0,23,1,0,0,0
28,0.319660005,21,1,0.015221905,0.06783121,0
29,0.038769975,75,1,0.000516933,0.002303535,0
30,0.006429995,23,1,0.000279565,0.001245786,0
31,0.0002,24,1,8.33E-06,3.71346E-05,0
32,0,101,1,0,0,0
33,0.00187,10,1,0.000187,0.000833302,0
34,0.036389997,9,1,0.004043333,0.01801773,0
35,0,15,1,0,0,0
36,0,91,1,0,0,0
37,0,118,1,0,0,0
38,0,48,1,0,0,0
39,0,81,1,0,0,0
40,0,53,1,0,0,0
41,0.36408999,22,1,0.016549545,0.073747384,0
42,0.024569996,22,1,0.001116818,0.004976717,0
43,0.459039996,18,1,0.025502222,0.113641925,0
44,0.225979991,157,1,0.001439363,0.006414029,0
45,0.144709988,158,1,0.000915886,0.004081333,0
46,0.147110004,18,1,0.008172778,0.036419188,0
47,0.228909992,29,1,0.007893448,0.03517445,0
48,0.02486,10,1,0.002486,0.011078008,0
49,0.078710016,64,1,0.001229844,0.005480379,0
50,0,21,1,0,0,0
51,0.348860001,21,1,0.016612381,0.074027391,0
52,0.0727,125,1,0.0005816,0.002591701,0
53,0,24,1,0,0,0
54,0.005100004,26,1,0.000196154,0.000874093,0
55,0.014130018,58,1,0.000243621,0.001085614,0
56,0.007250014,46,1,0.000157609,0.000702331,0
57,0.108740008,26,1,0.004182308,0.018637024,0
58,0.049249992,46,1,0.001070652,0.004770994,0
59,0.034910049,157,1,0.000222357,0.000990858,0
60,0.864559976,56,1,0.015438571,0.068796708,0
61,0.0002,12,1,1.67E-05,7.42694E-05,0
62,0.003199999,49,1,6.53E-05,0.000291014,0
63,0.02713,100,1,0.0002713,0.001208956,0
64,0.02918995,145,1,0.00020131,0.000897069,0
65,0.047429991,49,1,0.000967959,0.004313378,0
66,0.348269992,28,1,0.012438214,0.055426644,0
67,0.703810008,114,1,0.006173772,0.027511302,0
68,0.77321001,30,1,0.025773667,0.114851527,0
69,0.045710008,17,1,0.002688824,0.011981824,0
70,0.04413,8,1,0.00551625,0.02458128,0
71,0.376359997,59,1,0.006378983,0.028425755,0
72,0.042330002,22,1,0.001924091,0.008574053,0
73,0.007899996,26,1,0.000303846,0.001353986,0
74,0.008679996,9,1,0.000964444,0.004297715,0
75,0.177279987,29,1,0.006113103,0.027240952,0
76,0,8,1,0,0,0
77,0.023269994,22,1,0.001057727,0.004713398,0
78,0.064530003,93,1,0.000693871,0.003091999,0
79,0.03373002,47,1,0.00071766,0.003198006,0
80,0.01977998,110,1,0.000179818,0.000801297,0
81,0.444270002,22,1,0.020194091,0.089988056,0
82,0.180100006,34,1,0.005297059,0.023604531,0
83,0.02817,15,1,0.001878,0.008368664,0
84,0.18339,30,1,0.006113,0.027240493,0
85,0.09113004,90,1,0.001012556,0.004512109,0
86,0.290649996,18,1,0.016147222,0.071954569,0
87,0.00169,49,1,3.45E-05,0.000153692,0
88,0.01505999,58,1,0.000259655,0.001157064,0
89,0.241680024,162,1,0.001491852,0.006647928,0
90,0.093420008,22,1,0.004246364,0.018922468,0
91,0.079870007,23,1,0.003472609,0.015474494,0
92,0.366610002,22,1,0.016664091,0.074257819,0
93,0.029769999,21,1,0.001417619,0.006317134,0
94,0.130839958,158,1,0.000828101,0.003690149,0
95,0.266150052,158,1,0.001684494,0.007506371,0
96,0.61303,25,1,0.0245212,0.109270336,0
97,0.349259994,18,1,0.019403333,0.086464313,0
98,0.12901,76,1,0.0016975,0.007564328,0
99,0.10806997,74,1,0.001460405,0.006507795,0
100,0.398290002,29,1,0.013734138,0.061201486,0
101,0.08089,125,1,0.00064712,0.002883669,0
102,0.00086,22,1,3.91E-05,0.000174195,0
103,0.335630001,21,1,0.015982381,0.071220011,0
104,0,25,1,0,0,0
105,0.00097,26,1,3.73E-05,0.000166249,0
106,0.141110004,12,1,0.011759167,0.052400704,0
107,0.94356,64,1,0.014743125,0.065697691,0
108,0.174829986,41,1,0.004264146,0.019001707,0
109,0.11606002,85,1,0.001365412,0.006084491,0
110,0.0002,14,1,1.43E-05,6.36593E-05,0
111,0.066279915,195,1,0.000339897,0.001514635,0
112,0.123680007,33,1,0.003747879,0.01670114,0
113,0.007459998,42,1,0.000177619,0.000791498,0
114,0.057639995,43,1,0.001340465,0.005973324,0
115,0.051020004,42,1,0.001214762,0.005413171,0
116,0.010819998,18,1,0.000601111,0.002678645,0
117,0.117050024,49,1,0.002388776,0.010644763,0
118,0.02417001,23,1,0.00105087,0.004682843,0
119,0.026000002,14,1,0.001857143,0.008275722,0
120,0.09362,32,1,0.002925625,0.013037047,0
121,0.038170016,32,1,0.001192813,0.005315363,0
122,0.005030001,197,1,2.55E-05,0.000113779,0
123,0.009789998,144,1,6.80E-05,0.000302957,0
124,0.010580003,7,1,0.001511429,0.006735166,0
125,0.012790011,39,1,0.000327949,0.001461392,0
126,0.02770001,65,1,0.000426154,0.001899009,0
127,0.29679,25,1,0.0118716,0.052901723,0
128,0,62,1,0,0,0
129,0,15,1,0,0,0
130,0,23,1,0,0,0
131,0.00076,176,1,4.32E-06,1.92425E-05,0
132,0.051689988,71,1,0.000728028,0.003244208,0
133,0.02624,16,1,0.00164,0.007308099,0
134,0.000330001,17,1,1.94E-05,8.6502E-05,0
135,0,4,1,0,0,0
136,0.040789998,38,1,0.001073421,0.004783333,0
137,0.0002,24,1,8.33E-06,3.71346E-05,0
138,0.000919999,24,1,3.83E-05,0.000170819,0
139,0.587920002,19,1,0.030943158,0.137887594,0
140,0.19941999,35,1,0.005697714,0.025389913,0
141,0.0002,2,1,1.00E-04,0.000445616,0
142,0.20518,32,1,0.006411875,0.028572327,0
143,0,3,1,0,0,0
144,0,3,1,0,0,0
145,0,30,1,0,0,0
146,0.000949999,14,1,6.79E-05,0.000302382,0
147,0.00054,64,1,8.44E-06,3.75988E-05,0
148,0.0002,93,1,2.15E-06,9.58315E-06,0
149,0,31,1,0,0,0
150,0,23,1,0,0,0
151,0,23,1,0,0,0
152,0.0002,82,1,2.44E-06,1.08687E-05,0
153,0,21,1,0,0,0
154,0,13,1,0,0,0
155,0,9,1,0,0,0
156,0,26,1,0,0,0
157,0.00044,22,1,0.00002,8.91232E-05,0
158,0.003230005,119,1,2.71E-05,0.000120953,0
159,0.009229971,61,1,0.000151311,0.000674266,0
160,0,73,1,0,0,0
161,0.004250002,208,1,2.04E-05,9.10513E-05,0
162,0,38,1,0,0,0
163,0.002399998,66,1,3.64E-05,0.000162042,0
164,0.0002,2,1,1.00E-04,0.000445616,0
165,0.002049996,120,1,1.71E-05,7.61259E-05,0
166,0.00048,20,1,2.40E-05,0.000106948,0
167,0.01432,20,1,0.000716,0.003190609,0
168,0.132719997,19,1,0.006985263,0.031127434,0
169,0.051780015,35,1,0.001479429,0.006592569,0
170,0.183449992,88,1,0.002084659,0.009289569,0
171,0.325690002,22,1,0.014804091,0.065969365,0
172,0.76937,50,1,0.0153874,0.068568682,0
173,0.287810024,76,1,0.003786974,0.016875354,0
174,0.008889998,26,1,0.000341923,0.001523663,0
175,0.25728,50,1,0.0051456,0.022929605,0
176,0.00515999,22,1,0.000234545,0.00104517,0
177,0.0002,21,1,9.52E-06,4.24396E-05,0
178,0.005119996,103,1,4.97E-05,0.00022151,0
179,0.004589998,58,1,7.91E-05,0.000352651,0
180,0.04927999,29,1,0.00169931,0.007572393,0
181,0.00147,75,1,0.0000196,8.73407E-05,0
182,0.0002,9,1,2.22E-05,9.90256E-05,0
183,0.00103,25,1,0.0000412,0.000183594,0
184,0.056099987,31,1,0.001809677,0.008064206,0
185,0.00448001,38,1,0.000117895,0.000525359,0
186,0.040060008,81,1,0.000494568,0.002203873,0
187,0.31790001,30,1,0.010596667,0.04722042,0
188,0,45,1,0,0,0
189,0,31,1,0,0,0
190,0,42,1,0,0,0
191,0.06042,38,1,0.00159,0.007085291,0
192,0.02058,98,1,0.00021,0.000935793,0
193,0.014620023,59,1,0.000247797,0.001104223,0
194,0.01845,41,1,0.00045,0.002005271,0
195,0.00706,25,1,0.0002824,0.001258419,0
196,0.0002,6,1,3.33E-05,0.000148538,0
197,0.003529996,29,1,0.000121724,0.000542421,0
198,0.00075,23,1,3.26E-05,0.00014531,0
199,0.076370008,88,1,0.000867841,0.003867236,0
200,0.19288,160,1,0.0012055,0.005371898,0
201,0,22,1,0,0,0
202,0.0002,17,1,1.18E-05,5.24254E-05,0
203,0.583030008,27,1,0.021593704,0.096224952,0
204,0.09024,48,1,0.00188,0.008377577,0
205,0.370169998,22,1,0.016825909,0.074978905,0
206,0.011719995,23,1,0.000509565,0.002270702,0
207,0.00029,55,1,5.27E-06,2.34961E-05,0
208,0.182239925,161,1,0.001131925,0.005044036,0
209,0.555220008,24,1,0.023134167,0.103089498,0
210,0.08065,50,1,0.001613,0.007187783,0
211,0.426649992,24,1,0.017777083,0.079217487,0
212,0.043279992,72,1,0.000601111,0.002678645,0
213,0.0002,46,1,4.35E-06,1.93746E-05,0
214,0,56,1,0,0,0
215,0,44,1,0,0,0
216,0.003409998,46,1,7.41E-05,0.000330337,0
217,0,4,1,0,0,0
218,0.467359998,29,1,0.016115862,0.071814824,0
219,0.057259979,49,1,0.001168571,0.005207337,0
220,0.0002,79,1,2.53E-06,1.12814E-05,0
221,0.220159975,59,1,0.003731525,0.016628264,0
222,0.019909992,34,1,0.000585588,0.002609473,0
223,0.009500003,59,1,0.000161017,0.000717517,0
224,0.005209997,77,1,6.77E-05,0.000301514,0
225,0.02255001,21,1,0.00107381,0.004785067,0
226,0.006299999,23,1,0.000273913,0.0012206,0
227,0.0002,109,1,1.83E-06,8.17643E-06,0
228,0,3,1,0,0,0
229,0.0002,206,1,9.71E-07,4.32637E-06,0
230,0.0002,45,1,4.44E-06,1.98051E-05,0
231,0.00029,37,1,7.84E-06,3.49267E-05,0
232,0,8,1,0,0,0
233,0.0002,2,1,1.00E-04,0.000445616,0
234,0.001529997,113,1,1.35E-05,6.03355E-05,0
235,0.009669992,29,1,0.000333448,0.001485897,0
236,0.045080028,84,1,0.000536667,0.002391473,0
237,0.18671002,70,1,0.002667286,0.011885847,0
238,0.00092,21,1,4.38E-05,0.000195222,0
239,0,81,1,0,0,0
240,0.002589994,22,1,0.000117727,0.00052461,0
241,0.4434,24,1,0.018475,0.082327515,0
242,0.07435006,158,1,0.00047057,0.002096934,0
243,0.003019996,28,1,0.000107857,0.000480628,0
244,0.174340012,77,1,0.002264156,0.010089436,0
245,0.00059,50,1,1.18E-05,5.25827E-05,0
246,0.00023,261,1,8.81E-07,3.92688E-06,0
247,0.00039,311,1,1.25E-06,5.58811E-06,0
248,0.00424,8,1,0.00053,0.002361764,0
249,0,6,1,0,0,0
250,0.523529996,22,1,0.023796818,0.106042376,0
251,0,21,1,0,0,0
252,0.0002,15,1,1.33E-05,5.94153E-05,0
253,0,14,1,0,0,0
254,0.002299999,24,1,9.58E-05,0.000427048,0
255,0.003059998,62,1,4.94E-05,0.000219933,0
256,0.473310068,164,1,0.002886037,0.012860636,0
257,0.00869,22,1,0.000395,0.001760182,0
258,0.001039995,97,1,1.07E-05,4.77771E-05,0
259,0.00054,5,1,0.000108,0.000481265,0
260,0.000279999,19,1,1.47E-05,6.56695E-05,0
261,0.017940006,180,1,9.97E-05,0.000444131,0
262,0,110,1,0,0,0
263,0,23,1,0,0,0
264,0,41,1,0,0,0
265,0.259550009,23,1,0.011284783,0.050286774,0
266,0.51584,62,1,0.00832,0.037075233,0
267,0.0002,9,1,2.22E-05,9.90256E-05,0
268,0.00028,12,1,2.33E-05,0.000103977,0
269,0,79,1,0,0,0
270,0,14,1,0,0,0
271,0.007410018,66,1,0.000112273,0.000500306,0
272,0.02053998,62,1,0.00033129,0.001476281,0
273,0.00975001,34,1,0.000286765,0.00127787,0
274,0,20,1,0,0,0
275,0.00435,71,1,6.13E-05,0.000273018,0
276,0.049270002,19,1,0.002593158,0.011555521,0
277,0,12,1,0,0,0
278,0.0002,98,1,2.04E-06,9.09422E-06,0
279,0.05115006,156,1,0.000327885,0.001461107,0
280,0.009729993,21,1,0.000463333,0.002064685,0
281,0.0002,68,1,2.94E-06,1.31064E-05,0
282,0,4,1,0,0,0
283,0.00022,189,1,1.16E-06,5.18706E-06,0
284,0,65,1,0,0,0
285,0,183,1,0,0,0
286,0.119949991,23,1,0.005215217,0.02323983,0
287,0.06345,30,1,0.002115,0.009424774,0
288,0.15874,32,1,0.004960625,0.022105328,0
289,0.0008,46,1,1.74E-05,7.74984E-05,0
290,0,63,1,0,0,0
291,0,119,1,0,0,0
292,0.0011,55,1,0.00002,8.91232E-05,0
293,0.018939963,107,1,0.000177009,0.00078878,0
294,0.00134,43,1,3.12E-05,0.000138866,0
295,0.004290006,23,1,0.000186522,0.000831171,0
296,0.006449988,37,1,0.000174324,0.000776815,0
297,0.011919996,172,1,6.93E-05,0.000308822,0
298,0.00127,17,1,7.47E-05,0.000332901,0
299,0.002230001,51,1,4.37E-05,0.000194848,0
300,0.036850009,97,1,0.000379897,0.001692881,0
301,0.014009973,57,1,0.000245789,0.001095275,0
302,0,26,1,0,0,0
303,0,72,1,0,0,0
304,0,32,1,0,0,0
305,0,33,1,0,0,0
306,0.001140001,113,1,1.01E-05,4.49559E-05,0
307,0,70,1,0,0,0
308,0,11,1,0,0,0
309,0,72,1,0,0,0
310,0.00023,14,1,1.64E-05,7.32084E-05,0
311,0.011819976,57,1,0.000207368,0.000924065,0
312,0.27663999,58,1,0.004769655,0.021254335,0
313,0.168799995,45,1,0.003751111,0.016715542,0
314,0.001719999,41,1,4.20E-05,0.000186941,0
315,0.223270002,18,1,0.012403889,0.055273686,0
316,0,5,1,0,0,0
317,0,41,1,0,0,0
318,0.010190004,22,1,0.000463182,0.002064012,0
319,0.003789999,52,1,7.29E-05,0.000324785,0
320,0,22,1,0,0,0
321,0.00046,22,1,2.09E-05,9.31742E-05,0
322,0.0002,131,1,1.53E-06,6.80331E-06,0
323,0,22,1,0,0,0
324,0.0084,21,1,0.0004,0.001782463,0
325,0.002959999,72,1,4.11E-05,0.000183198,0
326,0,21,1,0,0,0
327,0.0002,102,1,1.96E-06,8.73755E-06,0
328,0.0002,23,1,8.70E-06,3.87492E-05,0
329,0.004239999,91,1,4.66E-05,0.000207628,0
330,0.02476,32,1,0.00077375,0.003447952,0
331,0.003000005,23,1,0.000130435,0.000581239,0
332,0.25131,60,1,0.0041885,0.018664617,0
333,0.015939994,49,1,0.000325306,0.001449615,0
334,0.0002,29,1,6.90E-06,3.07321E-05,0
335,0.00392,32,1,0.0001225,0.000545879,0
336,0.0002,60,1,3.33E-06,1.48538E-05,0
337,0.165190004,86,1,0.001920814,0.00855945,0
338,0.00344001,21,1,0.00016381,0.000729963,0
339,0.002500008,21,1,0.000119048,0.000530497,0
340,0.0013,53,1,2.45E-05,0.000109302,0
