road_id,cluster_id
0,30
1,15
2,15
5,15
6,15
7,15
8,15
9,15
10,15
11,15
12,15
13,3
15,15
16,15
17,17
18,15
19,17
20,17
21,21
22,24
23,8
24,21
25,24
26,24
28,21
29,24
30,24
33,32
34,24
41,8
42,24
43,8
44,24
45,24
46,8
47,3
48,24
49,24
51,24
52,24
54,24
55,36
56,36
57,15
58,15
59,15
60,15
62,17
63,17
64,17
65,17
66,23
67,16
68,23
69,16
70,27
71,27
72,27
73,27
74,27
75,27
77,27
78,27
79,27
80,27
81,13
82,13
83,22
84,12
85,22
86,19
87,22
88,22
89,22
90,22
91,22
92,8
93,24
94,15
95,15
96,8
97,15
98,15
99,15
100,3
101,15
102,24
103,24
105,24
106,27
107,27
108,27
109,23
111,27
112,23
113,27
114,23
115,23
116,27
117,23
118,23
119,23
120,23
121,29
122,27
123,27
124,27
125,27
126,27
127,27
131,24
132,28
133,16
134,24
136,24
137,24
138,24
139,11
140,11
141,28
142,25
146,28
147,28
148,24
157,33
158,33
159,28
160,33
161,28
163,24
165,33
166,28
167,16
168,16
169,16
170,16
171,13
172,13
173,9
174,16
175,16
176,28
178,22
179,22
180,22
181,28
183,22
184,22
185,22
186,9
187,16
191,17
192,32
193,9
194,9
195,9
197,22
198,24
199,24
200,24
203,26
204,26
205,21
206,22
207,22
208,22
209,15
210,15
211,15
212,15
216,20
218,26
219,28
221,23
222,29
223,28
224,28
225,16
226,16
231,20
234,20
235,17
236,32
237,22
238,22
240,24
241,8
242,24
243,28
244,27
245,33
246,24
247,24
248,17
250,5
254,15
255,30
256,15
257,20
258,24
259,24
260,24
261,32
265,30
266,15
268,24
271,28
272,28
273,28
275,28
276,23
279,28
280,15
283,20
286,27
287,27
288,27
289,32
291,32
292,32
293,20
294,16
295,16
296,28
297,28
298,28
299,28
300,28
301,17
305,32
306,32
310,20
311,28
312,7
313,7
314,6
315,6
318,6
319,6
321,6
324,6
325,6
327,24
329,6
330,6
331,6
332,6
333,6
335,6
337,6
338,6
339,6
340,6
341,6
343,6
345,6
346,24
348,6
349,6
351,6
355,6
357,6
359,6
360,6
362,6
363,6
364,6
365,24
366,24
368,24
369,6
370,6
372,24
373,24
377,24
378,24
380,24
383,27
384,27
385,27
386,23
387,23
388,27
389,27
390,27
391,27
392,27
394,27
395,23
396,23
397,23
398,28
399,23
400,23
401,23
402,28
403,28
404,28
405,23
406,23
407,28
408,23
409,34
410,34
412,23
413,23
414,23
415,23
416,23
417,23
418,28
419,23
421,28
422,28
423,28
425,33
427,33
429,33
430,27
431,33
432,27
434,27
435,16
436,16
437,16
438,23
439,16
440,0
441,16
442,10
443,18
444,16
445,16
446,18
447,29
448,29
449,27
450,27
451,27
452,27
453,27
454,27
455,27
456,23
457,23
458,0
459,23
460,23
461,10
462,18
463,23
464,18
465,18
466,29
468,29
475,17
476,17
477,17
479,17
482,20
485,20
488,28
489,28
490,33
491,33
494,33
496,33
498,9
499,9
500,9
507,32
509,24
510,24
514,16
515,16
516,16
517,16
518,23
519,16
520,0
521,16
522,0
523,22
524,18
525,22
526,22
527,18
528,18
529,22
530,22
532,32
535,32
539,32
551,32
558,32
569,32
574,20
576,20
583,24
584,24
585,24
586,24
587,27
588,27
589,27
590,16
591,16
592,16
593,16
594,28
595,16
596,28
597,16
598,28
599,16
600,7
601,16
602,9
603,7
604,9
605,9
606,7
607,7
608,9
609,9
610,9
611,7
612,7
613,9
614,7
615,9
616,9
617,7
618,9
619,9
620,7
621,7
622,2
623,7
624,9
625,2
626,2
627,7
628,7
629,9
630,9
631,2
633,9
634,2
635,9
636,9
637,9
638,2
639,9
640,9
641,9
642,9
643,2
644,2
645,9
646,9
647,7
648,9
649,7
650,7
651,9
652,7
653,31
654,7
655,7
656,31
657,7
658,31
659,31
660,7
661,31
663,7
664,31
666,7
667,31
668,31
669,7
670,31
671,31
672,31
673,7
674,31
675,31
676,7
677,31
678,31
679,7
680,31
681,31
682,31
683,7
684,7
685,9
686,31
687,9
688,7
689,9
690,21
691,24
692,8
693,24
694,21
695,24
696,24
697,21
