15.65,20.3,21.45,22.05,23.2,25.0,25.45,27.95,27.85,25.5,24.25,23.15,23.5,24.0,23.75,22.6,23.0,22.5,23.6,25.55,25.25,22.55,21.5,22.85,20.8,23.15,20.95,22.55,20.6,19.4,19.8,21.45,23.05,22.8,20.55,18.95
2.35,1.7,1.7,2.4,2.65,3.2,3.7,3.4,3.5,3.6,4.0,4.7,2.7,3.25,3.5,2.35,2.7,3.15,2.35,2.25,2.55,2.75,2.6,2.5,2.5,1.25,1.65,2.05,1.5,1.3,1.1,1.5,1.55,1.0,1.2,1.2
16.3,19.25,18.05,20.2,23.6,23.4,23.85,25.65,20.95,21.0,19.95,19.9,21.95,22.75,22.7,26.75,24.85,24.35,23.5,25.15,24.3,23.7,22.2,21.05,22.45,24.3,22.1,23.1,23.95,24.65,20.6,23.3,23.5,23.8,22.0,22.75
56.25,60.65,68.75,69.15,69.8,73.85,74.65,79.5,82.6,78.35,81.55,74.3,75.85,78.65,78.8,81.05,80.85,85.05,82.85,85.45,88.05,87.5,87.5,84.65,84.55,85.55,87.75,84.95,82.8,84.05,81.05,81.65,78.65,81.05,80.8,73.35
80.85,87.0,86.9,86.25,84.4,88.45,89.3,98.65,105.5,104.95,113.9,114.2,110.15,113.05,114.35,114.7,115.05,115.4,122.3,123.85,129.6,132.7,128.75,123.55,124.55,125.9,124.4,129.65,124.35,119.35,116.85,121.7,116.5,122.8,121.9,115.5
11.7,13.05,14.55,14.85,17.6,16.75,15.6,17.5,16.45,13.65,14.7,14.05,15.1,14.8,16.9,17.55,19.4,18.85,18.6,18.5,18.05,18.8,18.95,17.7,17.05,19.05,16.4,17.4,14.7,15.85,16.15,17.05,16.6,15.25,14.65,15.45
23.1,27.2,28.4,26.95,28.65,33.8,38.1,36.75,38.0,35.8,35.0,32.6,33.9,36.2,35.15,37.45,31.95,33.45,31.5,31.05,28.5,25.3,24.6,26.3,24.05,26.65,25.15,25.2,26.25,24.75,27.45,26.2,25.15,27.75,23.6,22.65
15.0,14.5,16.65,16.8,17.4,15.2,17.9,18.85,18.85,21.35,22.35,23.0,26.0,26.65,26.2,26.45,23.35,22.2,21.45,19.2,21.3,20.75,21.1,18.45,17.25,18.15,16.15,17.15,16.2,14.5,13.15,14.45,12.4,15.35,14.2,10.55
34.7,35.85,40.05,38.4,38.3,42.45,45.6,43.35,48.35,48.75,45.4,43.95,48.1,50.5,58.75,56.55,57.4,53.15,49.1,49.7,55.1,56.1,48.15,45.5,49.85,46.85,45.15,49.2,46.75,46.75,48.8,52.0,49.7,45.9,45.6,41.75
22.6,20.2,19.85,18.7,21.05,22.5,22.7,23.75,22.7,23.1,23.05,23.55,26.6,25.8,27.3,24.2,26.35,24.4,26.85,26.25,25.6,24.95,21.9,24.05,25.75,23.85,21.95,22.5,22.6,20.95,20.85,22.8,22.0,25.0,23.6,24.7
